"ENSEMBL","GENENAME","DESCRIPTION","EXP"
"4204","YGR098C","ESP1","Separase, a caspase-like cysteine protease; promotes sister chromatid separation by mediating dissociation of the cohesin Scc1p from chromatin; inhibits protein phosphatase 2A-Cdc55p to promote mitotic exit; inhibited by Pds1p; relative distribution to the nucleus increases upon DNA replication stress",NA
"4205","YGR101W","PCP1","Mitochondrial serine protease; required for the processing of various mitochondrial proteins and maintenance of mitochondrial DNA and morphology; belongs to the rhomboid-GlpG superfamily of intramembrane peptidases",NA
"4206","YGR107W",NA,NA,NA
"4207","YGR109C","CLB6","B-type cyclin involved in DNA replication during S phase; activates Cdc28p to promote initiation of DNA synthesis; functions in formation of mitotic spindles along with Clb3p and Clb4p; most abundant during late G1; CLB6 has a paralog, CLB5, that arose from the whole genome duplication",NA
"4208","YGR110W","CLD1","Mitochondrial cardiolipin-specific phospholipase; functions upstream of Taz1p to generate monolyso-cardiolipin; transcription increases upon genotoxic stress; involved in restricting Ty1 transposition; has homology to mammalian CGI-58",NA
"4209","YGR113W","DAM1","Essential subunit of the Dam1 complex (aka DASH complex); cooperates with Duo1p to connect the DASH complex with the microtubules (MT); couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; Ipl1p target for regulating kinetochore-MT attachments",NA
"4210","YGR114C",NA,NA,NA
"4211","YGR115C",NA,NA,NA
"4212","YGR121C","MEP1","Ammonium permease; belongs to a ubiquitous family of cytoplasmic membrane proteins that transport only ammonium (NH4+); expression is under the nitrogen catabolite repression regulation; MEP1 has a paralog, MEP3, that arose from the whole genome duplication",NA
"4213","YGR122C-A",NA,NA,NA
"4214","YGR122W",NA,"Protein that may be involved in pH regulation; probable ortholog of A. nidulans PalC, which is involved in pH regulation and binds to the ESCRT-III complex; null mutant does not properly process Rim101p and has decreased resistance to rapamycin; GFP-fusion protein is cytoplasmic; relative distribution to cytoplasm increases upon DNA replication stress",NA
"4215","YGR126W",NA,"Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus and is induced in response to the DNA-damaging agent MMS",NA
"4216","YGR127W",NA,"Putative protein of unknown function; expression is regulated by Msn2p/Msn4p, indicating a possible role in stress response",NA
"4217","YGR131W","FHN1","Protein of unknown function; induced by ketoconazole; promoter region contains sterol regulatory element motif, which has been identified as a Upc2p-binding site; overexpression complements function of Nce102p in NCE102 deletion strain; FHN1 has a paralog, NCE102, that arose from the whole genome duplication",NA
"4218","YGR133W","PEX4","Peroxisomal ubiquitin conjugating enzyme; required for peroxisomal matrix protein import and peroxisome biogenesis",NA
"4219","YGR136W","LSB1","Negative regulator of actin nucleation-promoting factor activity; interacts with Las17p, a homolog of human Wiskott-Aldrich Syndrome protein (WASP), via an N-terminal SH3 domain, and along with PIN3 cooperatively inhibits the nucleation of actin filaments; overexpression blocks receptor-mediated endocytosis; protein increases in abundance and forms nuclear foci in response to DNA replication stress; LSB1 has a paralog, PIN3, that arose from the whole genome duplication",NA
"4220","YGR137W",NA,NA,NA
"4221","YGR138C","TPO2","Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; specific for spermine; localizes to the plasma membrane; transcription of TPO2 is regulated by Haa1p; TPO2 has a paralog, TPO3, that arose from the whole genome duplication",NA
"4222","YGR139W",NA,NA,NA
"4223","YGR142W","BTN2","v-SNARE binding protein; facilitates specific protein retrieval from a late endosome to the Golgi; modulates arginine uptake, possible role in mediating pH homeostasis between the vacuole and plasma membrane H(+)-ATPase; contributes to prion curing; BTN2 has a paralog, CUR1, that arose from the whole genome duplication",NA
"4224","YGR144W","THI4","Thiazole synthase; abundant protein involved in the formation of the thiazole moiety of thiamine during thiamine biosynthesis; acts more as a co-substrate rather than an enzyme by providing the sulphur source for thiazole formation; undergoes a single turnover only; required for mitochondrial genome stability in response to DNA damaging agents",NA
"4225","YGR149W",NA,"Putative protein of unknown function; predicted to be an integal membrane protein",NA
"4226","YGR151C",NA,NA,NA
"4227","YGR152C","RSR1","GTP-binding protein of the Ras superfamily; required for bud site selection, morphological changes in response to mating pheromone, and efficient cell fusion; localized to the plasma membrane; significantly similar to mammalian Rap GTPases",NA
"4228","YGR153W",NA,"Putative protein of unknown function",NA
"4229","YGR154C","GTO1","Omega-class glutathione transferase; induced under oxidative stress; putative peroxisomal localization",NA
"4230","YGR160W",NA,NA,NA
"4231","YGR164W",NA,NA,NA
"4232","YGR168C",NA,"Putative protein of unknown function; YGR168C is not an essential gene",NA
"4233","YGR172C","YIP1","Integral membrane protein; required for the biogenesis of ER-derived COPII transport vesicles; interacts with Yif1p and Yos1p; localizes to the Golgi, the ER, and COPII vesicles; homolog of human YIPF4",NA
"4234","YGR176W",NA,NA,NA
"4235","YGR181W","TIM13","Mitochondrial intermembrane space protein; forms a complex with Tim8p that delivers a subset of hydrophobic proteins to the TIM22 complex for insertion into the inner membrane",NA
"4236","YGR182C",NA,NA,NA
"4237","YGR184C","UBR1","E3 ubiquitin ligase (N-recognin); heterodimerizes with Rad6p to ubiquitinate substrates in the N-end rule pathway; role in endoplasmic reticulum-associated protein degradation (ERAD) in the absence of canonical ER membrane ligases or after stress; major role in targeting misfolded cytosolic proteins for degradation; regulates peptide transport via Cup9p ubiquitination; mutation in human UBR1 causes Johansson-Blizzard Syndrome (JBS)",NA
"4238","YGR190C",NA,NA,NA
"4239","YGR196C","FYV8","Protein of unknown function; required for survival upon exposure to K1 killer toxin",NA
"4240","YGR197C","SNG1","Protein involved in resistance to nitrosoguanidine and 6-azauracil; expression is regulated by transcription factors involved in multidrug resistance; SNG1 has a paralog, YJR015W, that arose from the whole genome duplication",NA
"4241","YGR199W","PMT6","Protein O-mannosyltransferase; transfers mannose from dolichyl phosphate-D-mannose to protein serine/threonine residues of secretory proteins; reaction is essential for cell wall rigidity; member of a family of mannosyltransferases",NA
"4242","YGR201C",NA,"Putative protein of unknown function",NA
"4243","YGR212W","SLI1","N-acetyltransferase; confers resistance to the sphingolipid biosynthesis inhibitor myriocin (ISP-1) by converting it into N-acetyl-myriocin, co-operates with Ypk1p in mediating resistance to myriocin",NA
"4244","YGR213C","RTA1","Protein involved in 7-aminocholesterol resistance; has seven potential membrane-spanning regions; expression is induced under both low-heme and low-oxygen conditions; member of the fungal lipid-translocating exporter (LTE) family of protein; RTA1 has a paralog, YLR046C, that arose from the whole genome duplication",NA
"4245","YGR215W","RSM27","Mitochondrial ribosomal protein of the small subunit",NA
"4246","YGR216C","GPI1","Membrane protein involved in the synthesis of GlcNAc-PI; N-acetylglucosaminyl phosphatidylinositol (GlcNAc-PI) is the first intermediate in the synthesis of glycosylphosphatidylinositol (GPI) anchors; human and mouse GPI1p are functional homologs",NA
"4247","YGR217W","CCH1","Voltage-gated high-affinity calcium channel; involved in calcium influx in response to some environmental stresses as well as exposure to mating pheromones; interacts and co-localizes with Mid1p, suggesting Cch1p and Mid1p function together",NA
"4248","YGR219W",NA,NA,NA
"4249","YGR223C","HSV2","Phosphatidylinositol 3,5-bisphosphate-binding protein; plays a role in micronucleophagy; belongs to the PROPPIN family of proteins; predicted to fold as a seven-bladed beta-propeller; displays punctate cytoplasmic localization",NA
"4250","YGR224W","AZR1","Plasma membrane transporter of the major facilitator superfamily; involved in resistance to azole drugs such as ketoconazole and fluconazole",NA
"4251","YGR225W","AMA1","Activator of meiotic anaphase promoting complex (APC/C); Cdc20p family member; required for initiation of spore wall assembly; required for Clb1p degradation during meiosis; prevents premature assembly of the meiosis I spindle, required for DSB induced prophase I arrest",NA
"4252","YGR226C",NA,NA,NA
"4253","YGR227W","DIE2","Dolichyl-phosphoglucose-dependent alpha-1,2 glucosyltransferase; located in the ER; functions in the pathway that synthesizes the dolichol-linked oligosaccharide precursor for N-linked protein glycosylation; has a role in regulation of ITR1 and INO1",NA
"4254","YGR228W",NA,NA,NA
"4255","YGR230W","BNS1","Protein of unknown function; overexpression bypasses need for Spo12p, but not required for meiosis; BNS1 has a paralog, SPO12, that arose from the whole genome duplication",NA
"4256","YGR236C","SPG1","Protein required for high temperature survival during stationary phase; not required for growth on nonfermentable carbon sources; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",NA
"4257","YGR239C","PEX21","Peroxin required for peroxisomal matrix protein targeting; acts on proteins containing the PTS2 targeting sequence; interacts with Pex7p; partially redundant with Pex18p; relative distribution to cytoplasmic foci increases upon DNA replication stress; PEX21 has a paralog, PEX18, that arose from the whole genome duplication",NA
"4258","YGR242W",NA,NA,NA
"4259","YGR244C","LSC2","Beta subunit of succinyl-CoA ligase; succinyl-CoA ligase is a mitochondrial enzyme of the TCA cycle that catalyzes the nucleotide-dependent conversion of succinyl-CoA to succinate",NA
"4260","YGR249W","MGA1","Protein similar to heat shock transcription factor; multicopy suppressor of pseudohyphal growth defects of ammonium permease mutants",NA
"4261","YGR259C",NA,NA,NA
"4262","YGR260W","TNA1","High affinity nicotinic acid plasma membrane permease; responsible for uptake of low levels of nicotinic acid; expression of the gene increases in the absence of extracellular nicotinic acid or para-aminobenzoate (PABA)",NA
"4263","YGR263C","SAY1","Sterol deacetylase; component of the sterol acetylation/deacetylation cycle along with Atf2p; active both in the endoplasmic reticulum (ER) and in lipid droplets; integral membrane protein with active site in the ER lumen; green fluorescent protein (GFP)-fusion protein localizes to the ER",NA
"4264","YGR265W",NA,NA,NA
"4265","YGR268C","HUA1","Cytoplasmic protein containing a zinc finger domain; sequence similarity to that of Type I J-proteins; computational analysis of large-scale protein-protein interaction data suggests a possible role in actin patch assembly",NA
"4266","YGR272C",NA,NA,NA
"4267","YGR273C",NA,"Putative protein of unknown function; expression downregulated by treatment with 8-methoxypsoralen plus UVA irradiation; not an essential gene; YGR273C has a paralog, YMR295C, that arose from the whole genome duplication",NA
"4268","YGR276C","RNH70","3'-5' exoribonuclease; required for maturation of 3' ends of 5S rRNA and tRNA-Arg3 from dicistronic transcripts",NA
"4269","YGR284C","ERV29","Protein localized to COPII-coated vesicles; involved in vesicle formation and incorporation of specific secretory cargo; protein abundance increases in response to DNA replication stress",NA
